name,price
计算机视觉与深度学习实战：以MATLAB、Python为工具,91.30
Python数据分析：基于Plotly的动态可视化绘图,78.20
Python机器学习 预测分析核心算法,57.80
Python数据科学入门,40.00
详解深度学习 基于TensorFlow和Keras学习RNN,66.20
Python：统计人的视角/统计数据分析与应用丛书,32.40
Python程序设计基础,26.80
Python全案例学习与实践,126.70
Python带我起飞 入门、进阶、商业实战,78.20
数据分析师视频教程零基础入门金融建模CDA/Spss/R语言Python Sas,63.96
图解数据结构--使用Python,67.20
Python金融数据分析,56.90
Python3智能数据分析快速入门,98.20
零基础搭建量化投资系统――以Python为工具,79.20
青少年学Python,66.20
Python趣味编程入门,41.00
Python可以这样学,58.70
Python语言在Abaqus中的应用（附CD-ROM光盘1张）,31.70
Python数据分析与数据化运营,81.70
Python Flask Web开发入门与项目实战,81.70
Python+Spark 2.0+Hadoop机器学习与大数据实战,84.20
“笨办法”学Python(第3版)  人民邮电出版社  [美]Zed A. Shaw 著,35.00
Python绝技：运用Python成为顶级数据工程师,78.20
Head First 编程之旅（Python语言描述）,64.00
Python 3.7编程快速入门,50.20
编程导论 以Python为舟,61.10
Python基础教程/高等学校计算机应用规划教材,59.50
Python设计模式,83.30
Python王者归来,121.60
Python与数据挖掘,40.40
Python与有限元--基于Python编程的有限元分析及应用扩展,28.50
Python程序设计基础,21.90
Python网络爬虫从入门到实践,78.20
量化投资 以Python为工具 Python语言处理 数据Python金融 量化投资,65.80
Python金融实战,66.20
Python Django开发实战（视频讲解版）,58.50
轻松掌握BBC micro：bit上Python编程（全彩）,68.30
Python网络编程(Linux)（大数据与人工智能技术丛书）,33.20
Python编程基础,32.50
Python从小白到大牛,65.90
读故事学编程――Python王国历险记（双色）,68.30
"""笨办法""学Python 3",43.70
PYTHON趣味编程:从入门到人工智能,43.60
Python应用开发实战,66.20
Python程序设计与科学计算,41.00
零起点Python大数据与量化交易何海群 著,78.21
Python程序设计实验指导书/高等院校信息技术规划教材,34.10
零基础入门学习Python （第2版）小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,49.50
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,68.30
实战深度学习算法：零起点通关神经网络模型（基于Python和NumPy实现）,78.20
机器学习,48.90
Python从小白到大牛,67.60
Python物理建模初学者指南,49.40
Odoo快速入门与实战：Python开发ERP指南,65.20
Python程序设计（原书第2版）,105.60
Python科学计算（原书第2版）,73.40
Python数据科学与机器学习 从入门到实践,57.80
笨办法 学Python 3 基础编程 编程语言书籍,45.80
Python大战机器学习：数据科学家的第一个小目标,68.30
Python数据可视化编程实战 第2版 python高级程序设计 python编程实战指,50.90
Python 3网络爬虫开发实战 崔庆才 9787115480347,54.45
Selenium自动化测试 基于 Python 语言,41.00
大数据的Python基础,28.70
Python数据挖掘：概念、方法与实践,40.10
Python和HDF 5大数据应用,32.70
数据科学导论：Python语言实现（原书第2版）,48.70
Python高性能 第2版,48.20
包邮 Python Django Web典型模块开发实战 寇雪松|8062175,64.30
Python网络爬虫权威指南 第2版,57.70
Python3从入门到实战,63.70
Python微控制器编程从零开始 使用MicroPython,42.30
Python数据分析基础（第2版）/“十三五”全国统计规划教材,107.20
Python程序设计教程(高等院校计算机技术与应用系列规划教材),20.92
Python程序设计基础教程（慕课版）,33.30
Python程序设计基础（原书第4版）,87.90
Python大规模机器学习,73.40
Python快乐编程：网络爬虫/21世纪高等学校计算机专业实用规划教材,43.60
Abaqus GUI程序开发指南 Python语言,49.40
Python 3 数据分析与机器学习实战,53.50
Python语言程序设计实训教程,21.90
Python Cookbook 第三版 中文版 第3版,79.81
Python数据分析 基于Plotly的动态可视化绘图+数据分析入门 从数据获取到可视化,140.80
Python实用教程,41.50
Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程,97.20
Python机器学习基础教程,58.90
PYTHON数据结构与算法分析(第2版),58.50
Python与量化投资：从基础到实战,59.40
Python Qt GUI与数据可视化编程,45.70
"Python核心编程(第3版,英文版)",74.20
量化投资-以Python为工具,67.70
Python和Pygame游戏开发指南,44.30
Python深度学习 基于TensorFlow,61.50
【正版】  Python深度学习 deep learning with py  人工智能,89.00
Python机器学习经典实例,44.30
"Python3程序开发指南(第2版,修订版)",50.40
OpenCV轻松入门 面向Python,73.90
用Python写网络爬虫(第2版),36.80
从零开始学Python数据分析与挖掘,62.53
MicroPython入门指南 邵子扬 9787121328466,32.45
Spark数据分析：基于Python语言（英文版）,70.10
Python编程之美 最佳实践指南,67.60
编程语言实现模式,56.90
自己动手写Python虚拟机,56.90
Selenium自动化测试 基于 Python 语言R3S,35.80
PYTHON QT GUI与数据可视化编程,73.30
流畅的Python [巴西]卢西亚诺·拉马略(Luciano Ramalho) 97871,80.62
树莓派Python编程入门与实战（第2版）,57.80
营销数据科学：用R和Python进行预测分析的建模技术,70.10
正版 全2册 教孩子学编程python语言版+趣学Python 少儿儿童编程入门教程书中小学编程教材,86.00
Python真好玩 教孩子学编程,72.20
自己动手写Python虚拟机  海纳  书,60.80
Python 3 面向对象编程（第2版）,59.40
python基础教程第2版修订版 (挪)海特兰德 从入门到实践 图灵程序设计丛书,59.80
Python基础教程（第2版）,42.30
Python游戏编程快速上手(第4版),51.80
利用Python进行数据分析 原书第二版 华章图书 O'Reilly精品图书系列,83.30
Python机器学习 第2版（影印版）,88.60
Python3面向对象编程(第2版),76.20
PYTHON 新手学DJANGO 2.0架站的16堂课(第2版),75.20
趣学Python编程 青少年儿童编程系列图书,32.30
Python机器学习入门（影印版 英文版）,72.30
Selenium 2自动化测试实战 基于Python语言,58.40
【预售11.21发货】基于Python的金融分析与风险管理 斯文著 科技金融大数据风控 量化交易,94.40
教孩子学编程(Python语言版全彩印刷),43.44
包邮 Python量化交易 张杨飞著,69.80
Python大学实用教程,51.40
Python网络数据采集（第2版影印版 英文版）,60.80
